,compound,create_date,negative,neutral,news_media,positive,tweets_ago
0,0.8299,2018-07-01 20:43:50+00:00,0.0,0.71,BBC,0.29,0
1,0.6588,2018-07-01 19:36:52+00:00,0.0,0.845,BBC,0.155,-1
2,0.4019,2018-07-01 19:27:02+00:00,0.0,0.87,BBC,0.13,-2
3,-0.2957,2018-07-01 19:02:03+00:00,0.176,0.657,BBC,0.168,-3
4,-0.0516,2018-07-01 18:00:19+00:00,0.273,0.515,BBC,0.211,-4
5,0.5994,2018-07-01 17:58:17+00:00,0.0,0.822,BBC,0.178,-5
6,0.0,2018-07-01 17:07:02+00:00,0.0,1.0,BBC,0.0,-6
7,0.0,2018-07-01 16:32:14+00:00,0.0,1.0,BBC,0.0,-7
8,0.0,2018-07-01 16:06:03+00:00,0.0,1.0,BBC,0.0,-8
9,0.0,2018-07-01 15:07:02+00:00,0.0,1.0,BBC,0.0,-9
10,0.9096,2018-07-01 14:19:37+00:00,0.0,0.582,BBC,0.418,-10
11,0.5574,2018-07-01 13:32:20+00:00,0.0,0.841,BBC,0.159,-11
12,0.0516,2018-07-01 13:08:41+00:00,0.252,0.485,BBC,0.262,-12
13,0.5859,2018-07-01 13:04:05+00:00,0.0,0.678,BBC,0.322,-13
14,-0.296,2018-07-01 11:53:09+00:00,0.145,0.855,BBC,0.0,-14
15,0.7269,2018-07-01 11:52:12+00:00,0.0,0.747,BBC,0.253,-15
16,0.0,2018-07-01 11:04:03+00:00,0.0,1.0,BBC,0.0,-16
17,-0.7003,2018-07-01 10:08:02+00:00,0.266,0.734,BBC,0.0,-17
18,0.4303,2018-07-01 09:03:08+00:00,0.07,0.742,BBC,0.188,-18
19,0.0,2018-07-01 08:07:00+00:00,0.0,1.0,BBC,0.0,-19
20,-0.128,2018-07-01 07:04:01+00:00,0.133,0.753,BBC,0.115,-20
21,0.5707,2018-06-30 19:56:38+00:00,0.0,0.85,BBC,0.15,-21
22,-0.5106,2018-06-30 19:50:50+00:00,0.356,0.491,BBC,0.153,-22
23,-0.6705,2018-06-30 19:27:05+00:00,0.234,0.766,BBC,0.0,-23
24,0.0,2018-06-30 18:28:48+00:00,0.0,1.0,BBC,0.0,-24
25,0.0,2018-06-30 18:12:00+00:00,0.0,1.0,BBC,0.0,-25
26,0.3802,2018-06-30 17:04:00+00:00,0.0,0.834,BBC,0.166,-26
27,0.0,2018-06-30 16:04:06+00:00,0.0,1.0,BBC,0.0,-27
28,0.0,2018-06-30 16:03:09+00:00,0.0,1.0,BBC,0.0,-28
29,-0.3818,2018-06-30 15:07:03+00:00,0.157,0.843,BBC,0.0,-29
30,0.5509,2018-06-30 13:40:13+00:00,0.0,0.835,BBC,0.165,-30
31,0.0,2018-06-30 12:58:04+00:00,0.0,1.0,BBC,0.0,-31
32,0.5719,2018-06-30 12:13:52+00:00,0.0,0.866,BBC,0.134,-32
33,0.8224,2018-06-30 12:13:40+00:00,0.0,0.703,BBC,0.297,-33
34,0.0,2018-06-30 12:07:04+00:00,0.0,1.0,BBC,0.0,-34
35,0.0,2018-06-30 11:05:01+00:00,0.0,1.0,BBC,0.0,-35
36,0.1007,2018-06-30 10:02:04+00:00,0.0,0.878,BBC,0.122,-36
37,-0.4404,2018-06-30 09:23:10+00:00,0.208,0.683,BBC,0.109,-37
38,0.0,2018-06-30 09:05:03+00:00,0.0,1.0,BBC,0.0,-38
39,0.0,2018-06-30 08:19:13+00:00,0.0,1.0,BBC,0.0,-39
40,0.0,2018-06-30 08:04:06+00:00,0.0,1.0,BBC,0.0,-40
41,-0.8689,2018-06-30 07:02:00+00:00,0.521,0.479,BBC,0.0,-41
42,0.0772,2018-06-29 18:01:04+00:00,0.0,0.843,BBC,0.157,-42
43,0.0,2018-06-29 15:18:58+00:00,0.0,1.0,BBC,0.0,-43
44,-0.7184,2018-06-29 15:05:41+00:00,0.37,0.522,BBC,0.109,-44
45,0.1779,2018-06-29 13:01:05+00:00,0.0,0.918,BBC,0.082,-45
46,0.296,2018-06-29 12:51:35+00:00,0.0,0.905,BBC,0.095,-46
47,0.0,2018-06-29 12:00:19+00:00,0.0,1.0,BBC,0.0,-47
48,0.2023,2018-06-29 11:03:07+00:00,0.0,0.893,BBC,0.107,-48
49,0.3612,2018-06-29 09:56:50+00:00,0.0,0.848,BBC,0.152,-49
50,0.0,2018-06-29 08:00:12+00:00,0.0,1.0,BBC,0.0,-50
51,0.0,2018-06-29 07:29:06+00:00,0.0,1.0,BBC,0.0,-51
52,0.5859,2018-06-29 07:00:12+00:00,0.0,0.648,BBC,0.352,-52
